[Info   :BoboBay.Archipelago] [APDebug] Found 940 ItemScriptableObjects:
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Leftover Pizza' | Title: 'Leftover Pizza' | Type: Snack | Price: 1
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Palmwelon' | Title: 'Palmwelon' | Type: Snack | Price: 25
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Cat_Whiskers' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BusinessGlasses_Gold' | Title: 'Business Glasses' | Type: Accessory | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Gumball_ConcernedEyes' | Title: 'Gumball' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'DarkGlasses_Yellow' | Title: 'Sassy Sunglasses' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Goldenana' | Title: 'Goldenana' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Shoes_A_White' | Title: 'Sneakers' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Bunny_Ears' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Bunny_Cracker' | Title: 'Bunny Cracker' | Type: Snack | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Feet_Bobo' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CoolHelmet_Secondary' | Title: 'Cool Helmet' | Type: Accessory | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CopGlasses_Silver' | Title: 'Aviators' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'KnitHat_Blue' | Title: 'Knit Hat' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Eyebrows' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Monkey_Ears' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'TopHat_Big_Black' | Title: 'Top Hat' | Type: Accessory | Price: 700
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CowboyHat_Black' | Title: 'Cowboy Hat' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Gators_White' | Title: 'Gators' | Type: Accessory | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Mustache_Brown' | Title: 'Mustache' | Type: Accessory | Price: 600
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Monkey_Tail' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Rhino_Cracker' | Title: 'Rhino Cracker' | Type: Snack | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Key_Gold' | Title: 'Wind-Up Key' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'MohawkHelmet' | Title: 'Mohawk Helmet' | Type: Accessory | Price: 800
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Rhino_Ears' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Sneakers_A_Eyes' | Title: 'New Sneakers' | Type: Accessory | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Effect_PuffParticles' | Title: 'Puffs' | Type: Accessory | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'PixelGlasses_Black' | Title: 'Pixel Glasses' | Type: Accessory | Price: 250
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Cheetanana' | Title: 'Cheetanana' | Type: Snack | Price: 25
